id,name,activity_id,vendor_id,lead_time_days,promised_delivery_date,need_by_date,vendor_reported_status,manual_p_delay_override
M001,Conduit,A12,V05,30,,,,
M002,Control Panels,A03,V06,40,,,,
M003,Rebar Bundles,A02,V06,27,,,,
M004,Flooring Tiles,A16,V09,22,,,,
M005,Conduit,A13,V10,26,,,,
M006,MV Cables,A10,V10,31,,,,
M007,Dampers,A15,V02,25,,,,
M008,Ceiling Tiles,A08,V06,26,,,,
M009,Ceiling Tiles,A04,V09,15,,,,
M010,Cable Trays,A11,V06,22,,,,
M011,Insulation Rolls,A13,V02,36,,,,
M012,Ceiling Tiles,A09,V09,25,,,,
M013,Dampers,A09,V07,14,,,,
M014,VFD Drives,A14,V01,19,,,,
M015,Fire Pumps,A02,V01,34,,,,
M016,Structural Steel Beams,A06,V02,38,,,,
M017,VAV Boxes,A08,V01,13,,,,
M018,Access Doors,A06,V05,42,,,,
M019,Control Panels,A04,V01,30,,,,
M020,Roofing Membrane,A15,V10,26,,,,
M021,Ceiling Tiles,A16,V02,28,,,,
M022,Curtain Wall Panels,A06,V10,23,,,,
M023,Ceiling Tiles,A12,V07,18,,,,
M024,Fire Pumps,A07,V06,21,,,,
M025,Sprinkler Heads,A21,V09,23,,,,
M026,Dampers,A08,V09,36,,,,
M027,Dampers,A21,V07,8,,,,
M028,Conduit,A11,V06,31,,,,
M029,Generator Set,A10,V06,30,,,,
M030,MV Cables,A03,V05,26,,,,
M031,Paint & Coatings,A18,V05,27,,,,
M032,Roofing Membrane,A02,V01,69,,,,
M033,Rebar Bundles,A13,V02,42,,,,
M034,Cable Trays,A06,V06,36,,,,
M035,Control Panels,A12,V10,17,,,,
M036,Junction Boxes,A05,V05,21,,,,
M037,Conduit,A21,V10,33,,,,
M038,Insulation Rolls,A09,V01,18,,,,
M039,Dampers,A19,V10,56,,,,
M040,Flooring Tiles,A17,V01,31,,,,
M041,Paint & Coatings,A03,V01,30,,,,
M042,Ready-Mix Concrete,A20,V05,37,,,,
M043,Control Panels,A02,V06,29,,,,
M044,Dampers,A04,V01,38,,,,
M045,Gypsum Board,A19,V02,41,,,,
